"Compound_Name","TYPE","CID","SMILES","CAS","MW_Da","Less_equal_600_da"
"Cefditoren","GN_antibiotics_oshea","9870843","CC1=C(SC=N1)/C=C\C2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O","104145-95-1",506.6,TRUE
"Cefixime","GN_antibiotics_oshea","5362065","C=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OCC(=O)O)/C3=CSC(=N3)N)SC1)C(=O)O","79350-37-1",453.5,TRUE
"Cefmetazole","GN_antibiotics_oshea","42008","CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)CSCC#N)OC)SC2)C(=O)O","56796-20-4",471.5,TRUE
"Cefotaxime","GN_antibiotics_oshea","5742673","CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O","63527-52-6",455.5,TRUE
"Cefotetan","GN_antibiotics_oshea","53025","CN1C(=NN=N1)SCC2=C(N3[C@@H]([C@@](C3=O)(NC(=O)C4SC(=C(C(=O)N)C(=O)O)S4)OC)SC2)C(=O)O","69712-56-7",575.6,TRUE
"Cefoxitin","GN_antibiotics_oshea","441199","CO[C@@]1([C@@H]2N(C1=O)C(=C(CS2)COC(=O)N)C(=O)O)NC(=O)CC3=CC=CS3","35607-66-0",427.5,TRUE
"Cefpodoxime","GN_antibiotics_oshea","6335986","COCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O","80210-62-4",427.5,TRUE
"Cefprozil","GN_antibiotics_oshea","62977","CC=CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)SC1)C(=O)O","92665-29-7",389.4,TRUE
"Ceftizoxime","GN_antibiotics_oshea","6533629","CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=CCS3)C(=O)O","68401-81-0",383.4,TRUE
"Ceftriaxone","GN_antibiotics_oshea","5479530","CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O","73384-59-5",554.6,TRUE
"Cefuroxime","GN_antibiotics_oshea","5479529","CO/N=C(/C1=CC=CO1)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O","55268-75-2",424.4,TRUE
"Cephalexin","GN_antibiotics_oshea","27447","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)SC1)C(=O)O","15686-71-2",347.4,TRUE
"Cephalothin","GN_antibiotics_oshea","6024","CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)CC3=CC=CS3)SC1)C(=O)O","153-61-7",396.4,TRUE
"Cephradine","GN_antibiotics_oshea","38103","CC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)[C@@H](C3=CCC=CC3)N)SC1)C(=O)O","38821-53-3",349.4,TRUE
"Cefepime","GN_antibiotics_oshea","5479537","C[N+]1(CCCC1)CC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)[O-]","88040-23-7",480.6,TRUE
"Cefpirome","GN_antibiotics_oshea","5479539","CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC5=C4CCC5)C(=O)[O-]","84957-29-9",514.6,TRUE
"Ceftazidime","GN_antibiotics_oshea","5481173","CC(C)(C(=O)O)O/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]","72558-82-8",546.6,TRUE
