"name","smiles","formula","molwt","rb","glob","pbf","func_group"
"Sisomicin","CN[C@@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H]2O)OC[C@]1(C)O","C19H37N5O7","447.526","6","0.129542","1.22426","Primary Amine"
"Tobramycin","NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O","C18H37N5O9","467.514","6","0.106741","1.17962","Primary Amine"
"Chloramphenicol","OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O","C11H12Cl2N2O5","323.129","6","0.205359","0.97968","No Amine"
"Loracarbef","N[C@@H](C(=O)N[C@H]1[C@H]2CCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1","C16H16ClN3O4","349.769","4","0.0686433","0.787788","Primary Amine"
"Ertapenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N2C1=O)C(O)=O","C22H25N3O7S","475.515","7","0.0699567","1.10508","Secondary Amine"
"Imipenem","C[C@@H](O)[C@@H]1[C@H]2CC(SCCNC=N)=C(N2C1=O)C(O)=O","C12H17N3O4S","299.346","7","0.110536","0.885054","No Amine"
"Meropenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O","C17H25N3O5S","383.462","5","0.269672","1.11702","Secondary Amine"
"Tomopenem","C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@H]3C[C@H](N(C)C3)C(=O)N3CC[C@@H](C3)NC(=O)CNC(N)=N)=C(N2C1=O)C(O)=O","C23H35N7O6S","537.632","9","0.0793919","1.17275","Tertiary Amine"
"Cefetamet","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C14H15N5O5S2","397.429","5","0.125208","0.993837","No Amine"
"Ceftibuten","NC1=NC(=CS1)C(=C\CC(O)=O)\C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O","C15H14N4O6S2","410.425","6","0.119103","1.03063","No Amine"
"Cefaclor","N[C@@H](C(=O)N[C@H]1[C@H]2SCC(Cl)=C(N2C1=O)C(O)=O)C1=CC=CC=C1","C15H14ClN3O4S","367.807","4","0.0556511","0.663537","Primary Amine"
"Cefadroxil","CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O","C16H17N3O5S","363.388","4","0.0595045","0.7889","Primary Amine"
"Cefamandole","CN1N=NN=C1SCC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](O)C1=CC=CC=C1)C2=O)C(O)=O","C18H18N6O5S2","462.503","7","0.143717","1.30991","No Amine"
"Cefazolin","CC1=NN=C(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CN2C=NN=N2)C3=O)C(O)=O)S1","C14H14N8O4S3","454.507","7","0.0516256","0.81931","No Amine"
"Cefdinir","NC1=NC(=CS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O","C14H13N5O5S2","395.414","5","0.0639176","0.875291","No Amine"
"Cefditoren","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/C3=C(C)N=CS3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C19H18N6O5S3","506.578","7","0.100202","1.09041","No Amine"
"Cefixime","NC1=NC(=CS1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O","C16H15N5O7S2","453.45","8","0.0839773","0.960782","No Amine"
"Cefmetazole","CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O","C15H17N7O5S3","471.534","9","0.114685","1.1815","No Amine"
"Cefotaxime","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C16H17N5O7S2","455.465","8","0.0633306","0.860276","No Amine"
"Cefotetan","CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O","C17H17N7O8S4","575.619","9","0.0740319","1.11531","No Amine"
"Cefoxitin","CO[C@]1(NC(=O)CC2=CC=CS2)[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O","C16H17N3O7S2","427.452","8","0.124945","1.08839","No Amine"
"Cefpodoxime","COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C2=O)C(O)=O","C15H17N5O6S2","427.455","7","0.0802953","1.02026","No Amine"
"Cefprozil","CC=CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O","C18H19N3O5S","389.426","5","0.202988","1.1284","Primary Amine"
"Ceftizoxime","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C13H13N5O5S2","383.403","5","0.0664694","0.712237","No Amine"
"Ceftriaxone","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C18H18N8O7S3","554.58","8","0.061768","0.903582","No Amine"
"Cefuroxime","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1","C16H16N4O8S","424.385","8","0.106943","1.01324","No Amine"
"Cephalexin","CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O","C16H17N3O4S","347.389","4","0.0809696","0.892803","Primary Amine"
"Cephalothin","CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC1=CC=CS1)C2=O)C(O)=O","C16H16N2O6S2","396.438","7","0.04724","0.82884","No Amine"
"Cephradine","CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O","C16H19N3O4S","349.405","4","0.0736696","0.959754","Primary Amine"
"Cefepime","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C19H25N6O5S2+","481.569","7","0.0525081","0.880448","No Amine"
"Cefpirome","CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1","C22H23N6O5S2+","515.585","7","0.112809","1.1944","No Amine"
"Ceftazidime","CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3=CC=CC=C3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1)C(O)=O","C22H23N6O7S2+","547.584","9","0.076105","1.10744","No Amine"
"Ceftobiprole","NC1=NC(=NS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(\C=C3/CCN([C@@H]4CCNC4)C3=O)=C(N2C1=O)C(O)=O","C20H22N8O6S2","534.569","6","0.0331409","0.878164","Secondary Amine"
"Iclaprim","COC1=C(OC)C2=C(C=CC(O2)C2CC2)C(CC2=CN=C(N)N=C2N)=C1","C19H22N4O3","354.403","5","0.115437","0.893691","No Amine"
"Trimethoprim","COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC","C14H18N4O3","290.318","5","0.212497","1.09901","No Amine"
"Nalidixicacid","CCN1C=C(C(O)=O)C(=O)C2=CC=C(C)N=C12","C12H12N2O3","232.235","2","0.048226","0.444408","No Amine"
"Delafloxacin","NC1=NC(N2C=C(C(O)=O)C(=O)C3=CC(F)=C(N4CC(O)C4)C(Cl)=C23)=C(F)C=C1F","C18H12ClF3N4O4","440.76","3","0.110779","0.854186","No Amine"
"Ciprofloxacin","OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O","C17H18FN3O3","331.342","3","0.0389834","0.55308","Secondary Amine"
"Clinafloxacin","NC1CCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O","C17H17ClFN3O3","365.787","3","0.0711641","0.807859","Primary Amine"
"Danofloxacin","CN1C[C@@H]2C[C@H]1CN2C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O","C19H20FN3O3","357.379","3","0.0953695","0.895309","Tertiary Amine"
"Difloxacin","CN1CCN(CC1)C1=C(F)C=C2C(=C1)N(C=C(C(O)=O)C2=O)C1=CC=C(F)C=C1","C21H19F2N3O3","399.391","3","0.085643","0.85109","Tertiary Amine"
"Dx-619","COC1=C2N(C=C(C(O)=O)C(=O)C2=CC=C1N1CC[C@H](C1)C1(N)CC1)[C@@H]1C[C@@H]1F","C21H24FN3O4","401.431","5","0.0650917","0.837973","Primary Amine"
"Enoxacin","CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1","C15H17FN4O3","320.319","3","0.0513581","0.591163","Secondary Amine"
"Fleroxacin","CN1CCN(CC1)C1=C(F)C=C2C(=O)C(=CN(CCF)C2=C1F)C(O)=O","C17H18F3N3O3","369.338","4","0.0603932","0.731788","Tertiary Amine"
"Garenoxacin","C[C@H]1NCC2=C1C=CC(=C2)C1=CC=C2C(=O)C(=CN(C3CC3)C2=C1OC(F)F)C(O)=O","C23H20F2N2O4","426.413","5","0.0648427","0.849483","Secondary Amine"
